iter	Passed	Remaining
0	117	86492
1	246	90764
2	363	88893
3	494	90593
4	563	82535
5	691	84254
6	816	85099
7	938	85508
8	1056	85419
9	1175	85474
10	1295	85507
11	1415	85545
12	1547	86199
13	1670	86278
14	1781	85760
15	1897	85506
16	2019	85538
17	2148	85808
18	2265	85604
19	2394	85854
20	2505	85440
21	2575	83708
22	2673	82994
23	2786	82774
24	2906	82784
25	3023	82692
26	3149	82815
27	3263	82638
28	3379	82501
29	3510	82738
30	3634	82769
31	3750	82631
32	3857	82292
33	3982	82335
34	4108	82402
35	4262	83003
36	4381	82884
37	4515	83067
38	4649	83210
39	4773	83183
40	4881	82863
41	5004	82814
42	5126	82746
43	5249	82674
44	5376	82680
45	5505	82699
46	5650	82949
47	5766	82770
48	5879	82554
49	5996	82397
50	6116	82278
51	6248	82307
52	6398	82576
53	6517	82431
54	6632	82246
55	6754	82142
56	6881	82091
57	6999	81943
58	7112	81731
59	7248	81790
60	7370	81674
61	7500	81655
62	7631	81639
63	7818	82215
64	7969	82391
65	8091	82262
66	8231	82313
67	8346	82115
68	8469	81994
69	8582	81782
70	8716	81763
71	8870	81931
72	8989	81764
73	9101	81548
74	9235	81521
75	9348	81310
76	9484	81295
77	9597	81083
78	9710	80881
79	9854	80931
80	10023	81177
81	10129	80913
82	10250	80766
83	10406	80894
84	10540	80854
85	10687	80904
86	10817	80818
87	10940	80688
88	11060	80530
89	11175	80337
90	11293	80170
91	11428	80124
92	11585	80227
93	11728	80226
94	11877	80267
95	12031	80334
96	12148	80155
97	12286	80113
98	12409	79970
99	12521	79762
100	12642	79609
101	12745	79346
102	12878	79270
103	12999	79120
104	13124	78997
105	13243	78834
106	13364	78689
107	13482	78521
108	13597	78340
109	13722	78215
110	13866	78199
111	13982	78025
112	14136	78061
113	14290	78094
114	14427	78035
115	14485	77548
116	14642	77590
117	14763	77443
118	14898	77370
119	15021	77233
120	15154	77150
121	15278	77016
122	15453	77141
123	15570	76972
124	15682	76783
125	15804	76639
126	15934	76535
127	16075	76484
128	16189	76304
129	16311	76161
130	16416	75940
131	16529	75760
132	16641	75576
133	16767	75452
134	16912	75416
135	17036	75286
136	17175	75222
137	17301	75100
138	17461	75120
139	17590	75011
140	17732	74956
141	17875	74900
142	18035	74918
143	18156	74769
144	18303	74728
145	18434	74622
146	18566	74520
147	18701	74427
148	18879	74503
149	19016	74417
150	19141	74285
151	19296	74267
152	19422	74136
153	19557	74040
154	19711	74014
155	19838	73886
156	20002	73894
157	20140	73804
158	20282	73731
159	20439	73709
160	20562	73566
161	20746	73636
162	20896	73585
163	21021	73447
164	21178	73419
165	21347	73431
166	21475	73299
167	21618	73219
168	21780	73203
169	21920	73112
170	22057	73008
171	22173	72836
172	22313	72744
173	22451	72646
174	22578	72507
175	22691	72329
176	22819	72196
177	22963	72116
178	23124	72085
179	23274	72020
180	23413	71921
181	23533	71763
182	23708	71774
183	23822	71595
184	23935	71418
185	24085	71349
186	24238	71290
187	24372	71172
188	24497	71029
189	24609	70850
190	24783	70845
191	24934	70777
192	25067	70655
193	25230	70619
194	25342	70438
195	25504	70397
196	25635	70269
197	25803	70241
198	25981	70241
199	26106	70096
200	26233	69955
201	26339	69761
